flight_number,origin,destination,departure_time,aircraft_type,occurrences
2L9219,BCN,ZRH,16:05,E95,1
3F777,EVN,AMS,13:10,320,9
3F778,AMS,EVN,19:20,320,9
3O121,NDR,AMS,06:00,320,265
3O122,AMS,NDR,10:10,320,262
3O123,TNG,AMS,04:55,320,13
3O124,AMS,TNG,09:20,320,13
3O125,FEZ,AMS,15:00,320,43
3O126,AMS,FEZ,19:20,320,43
3O127,TNG,AMS,05:55,320,299
3O128,AMS,TNG,18:10,320,301
3O145,TTU,AMS,14:20,320,114
3O146,AMS,TTU,10:10,320,111
3O9901,DUS,AMS,07:35,320,2
3O9902,RJK,AMS,16:30,738,1
3O9903,VNO,AMS,06:19,738,1
3O9904,AMS,VNO,08:00,738,1
3O9905,AMS,BRU,09:20,320,1
3O993,VNO,AMS,09:35,738,1
3O994,AMS,VNO,14:30,738,1
3V4678,TLV,CDG,20:43,738,1
400310,TGD,ZRH,09:20,E95,142
400311,ZRH,TGD,12:00,E95,138
4Y002,FRA,PUJ,11:05,333,193
4Y003,PUJ,FRA,23:10,333,189
4Y010,FRA,CUN,09:25,333,101
4Y011,CUN,FRA,23:10,333,99
4Y012,FRA,TQO,09:20,333,32
4Y013,TQO,FRA,23:05,333,31
4Y050,FRA,PHL,11:10,333,269
4Y051,PHL,FRA,21:35,333,264
4Y052,FRA,MSP,09:30,333,101
4Y053,MSP,FRA,21:00,333,99
4Y054,FRA,LAS,11:45,333,186
4Y055,LAS,FRA,04:10,333,185
4Y056,FRA,MCO,15:45,333,4
4Y057,MCO,FRA,04:25,333,4
4Y060,FRA,RSW,11:05,333,125
4Y061,RSW,FRA,23:15,333,125
4Y062,FRA,ANC,11:20,333,28
4Y063,ANC,FRA,23:05,333,28
4Y064,FRA,TPA,09:30,333,375
4Y065,TPA,FRA,21:55,333,365
4Y068,FRA,MCO,12:10,333,387
4Y069,MCO,FRA,23:50,333,385
4Y071,MCO,FRA,00:45,332,2
4Y072,FRA,YHZ,17:35,333,5
4Y073,YHZ,FRA,01:10,333,22
4Y074,FRA,YHZ,13:40,333,172
4Y075,YHZ,FRA,22:30,333,152
4Y076,FRA,YYC,12:30,333,384
4Y077,YYC,FRA,22:50,333,377
4Y079,YYC,FRA,01:10,333,1
4Y090,FRA,YYC,09:30,333,1
4Y091,YYC,FRA,21:45,333,1
4Y1000,FRA,MUC,04:50,320,23
4Y1001,MUC,FRA,06:30,320,23
4Y1200,FRA,RHO,02:45,320,126
4Y1201,RHO,FRA,06:50,320,127
4Y1202,FRA,KGS,02:50,320,95
4Y1203,KGS,FRA,06:40,320,95
4Y1204,FRA,HER,02:50,320,253
4Y1205,HER,FRA,06:40,320,253
4Y1206,FRA,CHQ,02:50,320,112
4Y1207,CHQ,FRA,06:40,320,112
4Y1210,FRA,CFU,02:50,320,119
4Y1211,CFU,FRA,05:55,320,118
4Y1212,FRA,JSI,12:00,320,51
4Y1213,JSI,FRA,15:20,320,52
4Y1214,FRA,ZTH,05:30,320,30
4Y1215,ZTH,FRA,08:50,320,30
4Y1216,FRA,HRG,09:00,320,1
4Y1220,FRA,JTR,10:50,320,131
4Y1221,JTR,FRA,14:40,320,131
4Y1224,FRA,HER,02:50,320,123
4Y1225,HER,FRA,06:40,320,126
4Y1230,FRA,JMK,11:20,320,65
4Y1231,JMK,FRA,14:55,320,65
4Y1232,FRA,KLX,11:40,320,19
4Y1233,KLX,FRA,15:35,320,21
4Y1234,FRA,EFL,11:45,320,34
4Y1235,EFL,FRA,15:15,320,35
4Y1240,FRA,LCA,09:15,320,29
4Y1241,LCA,FRA,13:50,320,29
4Y1242,FRA,LCA,19:35,320,9
4Y1243,LCA,FRA,00:05,320,8
4Y1244,FRA,LCA,12:10,320,7
4Y1245,LCA,FRA,16:30,320,7
4Y130,FRA,ZNZ,19:45,333,57
4Y1300,FRA,EVE,07:50,320,83
4Y1301,EVE,FRA,11:35,320,83
4Y1302,FRA,ALF,08:50,320,12
4Y1303,ALF,FRA,14:05,320,12
4Y131,ZNZ,FRA,08:25,333,55
4Y1313,TFS,FRA,14:25,320,2
4Y1316,FRA,ACE,08:15,320,1
4Y132,FRA,WDH,19:55,333,238
4Y1320,FRA,KTT,09:35,320,50
4Y1321,KTT,FRA,14:10,320,50
4Y1322,FRA,KTT,08:40,320,1
4Y1323,KTT,FRA,13:20,320,1
4Y1324,FRA,FUE,08:45,320,1
4Y1325,FUE,FRA,14:10,320,1
4Y133,WDH,FRA,17:20,333,232
4Y1330,FRA,TOS,09:00,320,1
4Y1331,TOS,FRA,15:25,320,1
4Y134,FRA,MBA,17:35,333,124
4Y1342,FRA,BOO,09:50,320,8
4Y1343,BOO,FRA,14:05,320,8
4Y135,MBA,FRA,08:25,333,124
4Y136,FRA,MBA,17:35,333,80
4Y137,MBA,FRA,08:20,333,81
4Y138,FRA,WDH,19:55,333,171
4Y139,WDH,FRA,17:30,333,161
4Y140,FRA,MBA,18:55,333,14
4Y1400,FRA,BOJ,02:50,320,55
4Y1401,BOJ,FRA,06:10,320,55
4Y1408,FRA,VAR,03:00,320,154
4Y1409,VAR,FRA,06:15,320,154
4Y141,MBA,FRA,09:25,333,14
4Y1450,FRA,PMI,13:50,333,1
4Y1451,PMI,FRA,16:55,333,1
4Y1500,FRA,SNN,08:05,320,4
4Y1501,SNN,FRA,11:00,320,4
4Y152,FRA,MRU,15:40,333,78
4Y153,MRU,FRA,15:20,333,79
4Y154,FRA,MLE,18:20,333,46
4Y155,MLE,FRA,05:45,333,46
4Y156,FRA,SEZ,20:45,333,36
4Y157,SEZ,FRA,18:05,333,36
4Y1600,FRA,AYT,02:45,320,68
4Y1601,AYT,FRA,07:05,320,68
4Y1602,FRA,BJV,05:05,320,63
